日期,SO2分指数,NO2分指数,AQI
2023/6/5,"\mathcal{L}(5,7)","\mathcal{L}(32,34)","\mathcal{L}(46,48)"
2023/6/4,"\mathcal{L}(7,9)","\mathcal{L}(27,29)","\mathcal{L}(66,68)"
2023/6/3,"\mathcal{L}(6,8)","\mathcal{L}(24,26)","\mathcal{L}(80,82)"
2023/6/2,"\mathcal{L}(7,9)","\mathcal{L}(33,35)","\mathcal{L}(139,141)"
2023/6/1,"\mathcal{L}(7,9)","\mathcal{L}(34,36)","\mathcal{L}(48,50)"
2023/5/31,"\mathcal{L}(6,8)","\mathcal{L}(33,35)","\mathcal{L}(37,39)"
2023/5/30,"\mathcal{L}(6,8)","\mathcal{L}(34,36)","\mathcal{L}(43,45)"
2023/5/29,"\mathcal{L}(7,9)","\mathcal{L}(31,33)","\mathcal{L}(121,123)"
2023/5/28,"\mathcal{L}(7,9)","\mathcal{L}(21,23)","\mathcal{L}(79,81)"
2023/5/27,"\mathcal{L}(6,8)","\mathcal{L}(19,21)","\mathcal{L}(46,48)"
2023/5/26,"\mathcal{L}(6,8)","\mathcal{L}(33,35)","\mathcal{L}(59,61)"
2023/5/25,"\mathcal{L}(7,9)","\mathcal{L}(28,30)","\mathcal{L}(94,96)"
2023/5/24,"\mathcal{L}(7,9)","\mathcal{L}(48,50)","\mathcal{L}(64,66)"
2023/5/23,"\mathcal{L}(7,9)","\mathcal{L}(44,46)","\mathcal{L}(82,84)"
2023/5/22,"\mathcal{L}(5,7)","\mathcal{L}(28,30)","\mathcal{L}(75,77)"
2023/5/21,"\mathcal{L}(5,7)","\mathcal{L}(26,28)","\mathcal{L}(64,66)"
2023/5/20,"\mathcal{L}(5,7)","\mathcal{L}(26,28)","\mathcal{L}(75,77)"
2023/5/19,"\mathcal{L}(5,7)","\mathcal{L}(28,30)","\mathcal{L}(47,49)"
2023/5/18,"\mathcal{L}(5,7)","\mathcal{L}(28,30)","\mathcal{L}(45,47)"
2023/5/17,"\mathcal{L}(5,7)","\mathcal{L}(18,20)","\mathcal{L}(51,53)"
2023/5/16,"\mathcal{L}(7,9)","\mathcal{L}(27,29)","\mathcal{L}(97,99)"
2023/5/15,"\mathcal{L}(8,10)","\mathcal{L}(47,49)","\mathcal{L}(136,138)"
2023/5/14,"\mathcal{L}(8,10)","\mathcal{L}(51,53)","\mathcal{L}(145,147)"
2023/5/13,"\mathcal{L}(8,10)","\mathcal{L}(51,53)","\mathcal{L}(164,166)"
2023/5/12,"\mathcal{L}(9,11)","\mathcal{L}(66,68)","\mathcal{L}(139,141)"
2023/5/11,"\mathcal{L}(7,9)","\mathcal{L}(66,68)","\mathcal{L}(66,68)"
